player,pos,contract_aav,season,pct_change,upper_limit,lower_limit,min_salary,team,games_played,goals_against,expected_goals_against,goals_saved_above_expected,goals_saved_above_expected_per_60,save_pct_on_unblocked_shots,xsave_pct_on_unblocked_shots,save_pct_above_expected,save_pct_on_shots_on_goal,gaa,xgaa,gaa_better_than_expected,wins_above_replacement,icetime,rebounds_per_save,xrebounds_per_save,rebounds_above_expected,puck_freezes,expected_puck_freeze,puck_freezes_above_expected,puck_freezes_above_expected_per_shot_on_goal,saves_on_shots_on_goal,saves_on_unblocked_shot_attempts,pct_of_shot_attempts_blocked_by_teammates,pct_of_unblocked_shot_attempts_against_on_goal,expected_pct_of_unblocked_shot_attempts_against_on_goal,on_goal_pct_above_expected,low_danger_unblocked_shot_attempt_save_pct,xlow_danger_unblocked_shot_attempt_save_pct,low_danger_unblocked_shot_attempt_savepct_above_expected,medium_danger_unblocked_shot_attempt_save_pct,xmedium_danger_unblocked_shot_attempt_save_pct,medium_danger_unblocked_shot_attemptsave_pct_above_expected,high_danger_unblocked_shot_attempt_save_pct,xhigh_danger_unblocked_shot_attempt_save_pct,high_danger_unblocked_shot_attempt_save_pct_above_expected,final_standing
Corey Crawford,G,6000000,2012-13,0.0717,64300000,47500000,525000,CHI,30.0,57.0,63.77,6.8,0.232,0.959,0.954,0.005,0.926,1.94,2.17,0.23,1.13,1760.0,0.033,0.039,-0.006,159.0,166.89,-7.89,-0.01,712.0,1330.0,0.2061,0.5544,0.5317000000000001,0.0227,0.98,0.971,0.008,0.901,0.879,0.022,0.577,0.652,-0.075,1.0
Henrik Lundqvist,G,8500000,2012-13,0.0717,64300000,47500000,525000,NYR,43.0,88.0,96.69,8.7,0.203,0.962,0.959,0.004,0.926,2.05,2.25,0.2,1.45,2573.0,0.034,0.035,-0.001,255.0,270.13,-15.13,-0.01,1102.0,2258.0,0.2255,0.5072,0.5015999999999999,0.005600000000000001,0.975,0.973,0.002,0.911,0.877,0.033,0.632,0.663,-0.03,12.0
Semyon Varlamov,G,5900000,2012-13,0.0717,64300000,47500000,525000,COL,35.0,98.0,90.09,-7.9,-0.243,0.95,0.954,-0.004,0.903,3.02,2.77,-0.24,-1.32,1949.0,0.049,0.04,0.008,217.0,232.9,-15.9,-0.02,909.0,1866.0,0.2163,0.5127,0.5194,-0.0067,0.971,0.972,-0.0,0.865,0.878,-0.013,0.627,0.675,-0.049,29.0
Steve Mason,G,4100000,2012-13,0.0717,64300000,47500000,525000,PHI,20.0,47.0,42.43,-4.6,-0.253,0.953,0.957,-0.005,0.916,2.59,2.34,-0.25,-0.76,1090.0,0.033,0.038,-0.006,105.0,121.26,-16.26,-0.03,514.0,949.0,0.19940000000000002,0.5633,0.539,0.024300000000000002,0.965,0.97,-0.006,0.873,0.881,-0.008,0.667,0.674,-0.008,20.0
Ben Scrivens,G,2300000,2012-13,0.0717,64300000,47500000,525000,TOR,20.0,46.0,44.09,-1.9,-0.111,0.956,0.957,-0.002,0.915,2.69,2.58,-0.11,-0.32,1024.0,0.041,0.038,0.004,111.0,126.71,-15.71,-0.03,496.0,991.0,0.2108,0.5227,0.5257999999999999,-0.0031,0.972,0.973,-0.001,0.866,0.879,-0.013,0.719,0.706,0.013,10.0
Anton Khudobin,G,2250000,2012-13,0.0717,64300000,47500000,525000,BOS,14.0,31.0,31.99,1.0,0.075,0.956,0.955,0.001,0.92,2.32,2.39,0.07,0.16,803.0,0.019,0.038,-0.019,89.0,87.38,1.62,0.0,358.0,677.0,0.2,0.5494,0.5442,0.0052,0.978,0.973,0.005,0.895,0.882,0.013,0.56,0.65,-0.09,5.0
Antti Raanta,G,750000,2013-14,0.0731,69000000,51000000,525000,CHI,25.0,63.0,54.84,-8.2,-0.357,0.945,0.952,-0.007,0.897,2.75,2.39,-0.36,-1.36,1376.0,0.037,0.04,-0.003,135.0,135.69,-0.69,0.0,547.0,1088.0,0.21059999999999998,0.53,0.5275,0.0024,0.964,0.969,-0.006,0.885,0.878,0.007,0.578,0.716,-0.138,7.0
Jonas Gustavsson,G,1850000,2013-14,0.0731,69000000,51000000,525000,DET,27.0,68.0,57.57,-10.4,-0.402,0.948,0.956,-0.008,0.907,2.63,2.23,-0.4,-1.74,1550.0,0.04,0.039,0.001,156.0,161.73,-5.73,-0.01,667.0,1230.0,0.1943,0.5663,0.5468999999999999,0.019299999999999998,0.975,0.972,0.003,0.86,0.881,-0.022,0.489,0.671,-0.182,15.0
Niklas Svedberg,G,600000,2013-14,0.0731,69000000,51000000,525000,BOS,1.0,2.0,2.15,0.1,0.099,0.96,0.957,0.003,0.943,1.97,2.12,0.15,0.02,60.0,0.042,0.037,0.004,7.0,6.85,0.15,0.0,33.0,48.0,0.18030000000000002,0.7,0.604,0.096,1.0,0.97,0.03,1.0,0.897,0.103,0.0,0.74,-0.74,1.0
Curtis McElhinney,G,600000,2013-14,0.0731,69000000,51000000,525000,CBJ,28.0,64.0,52.79,-11.2,-0.472,0.948,0.957,-0.009,0.909,2.7,2.23,-0.47,-1.87,1423.0,0.04,0.037,0.003,114.0,155.01,-41.01,-0.06,639.0,1176.0,0.19579999999999997,0.5669,0.5392,0.0277,0.969,0.974,-0.006,0.855,0.883,-0.028,0.542,0.613,-0.071,14.0
Alex Stalock,G,1600000,2013-14,0.0731,69000000,51000000,525000,SJS,24.0,39.0,40.64,1.6,0.077,0.963,0.961,0.002,0.932,1.87,1.95,0.08,0.27,1251.0,0.036,0.036,0.0,139.0,129.97,9.03,0.02,532.0,1004.0,0.20440000000000003,0.5475,0.5324,0.0151,0.977,0.973,0.004,0.873,0.882,-0.009,0.735,0.729,0.006,5.0
Carter Hutton,G,725000,2012-13,0.0717,64300000,47500000,525000,CHI,1.0,3.0,2.52,-0.5,-0.511,0.951,0.959,-0.008,0.893,3.06,2.57,-0.49,-0.08,58.0,0.034,0.04,-0.005,7.0,6.48,0.52,0.02,25.0,58.0,0.21789999999999998,0.45899999999999996,0.5036,-0.0446,0.97,0.973,-0.003,0.889,0.893,-0.004,0.5,0.675,-0.175,1.0
